,,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
David Montgomery,,0,RB,RB1,6500,DET,@ NO,22,25.25,8.2,11.4,18.2,0,0,0,0,0,0.4972,14.27,61.52,0.58,17.07,0.0682,2.8,2.12,17.8,0.04,0,0,0,0,0,0,13.77,13.77,0,1.47,30.17,13.77,13.77,0,100,,43,2.1,12,19,19,23,63,63,0.01,,,0.01,,,,15.41,62.6,0.51,3.04,2.4,19.53,0.06,,,,,,,
Josh Downs,,0,WR,WR2,5100,IND,@ TEN,31,21.75,6.5,0,10.9,0,0,0,0,0,0,0,0,0,8.78,0.2329,8.78,5.73,65.69,0.24,0,0,0,0,0,0,13.74,13.74,0,3.99,26.74,13.74,13.74,0,100,,40,2.7,31,25,25,37,64,64,,,,,,,,,,,6.64,4.36,51.45,0.18,,,,,,,
Christian Kirk,,0,WR,WR2,5800,JAC,vs CIN,7,23.25,7.7,14.8,14.1,0,0,0,0,0,0,0,0,0,7.89,0.218,7.89,5.15,65.47,0.32,0,0,0,0,0,0,13.62,13.62,0,2.07,29.02,13.62,13.62,0,100,,39,2.3,25,26,26,30,65,65,0.05,0.02,0.38,,,,2.88,0.26,1.89,,6.85,4.48,56.8,0.33,,,,,,,
Robert Woods,,0,WR,WR4,3900,HOU,vs DEN,10,25.25,8.3,6.9,7.6,0,0,0,0,0,0,0,0,0,8.67,0.2142,8.67,5.41,64.75,0.28,0,0,0,0,0,0,13.57,13.57,0,1.12,30.17,13.57,13.57,0,100,,34,3.5,43,27,27,49,66,66,,,,,,,,0.59,4.02,0.04,7.14,4.57,55.62,0.25,,,,,,,
DeAndre Hopkins,,0,WR,WR1,6100,TEN,vs IND,14,20.75,9,17.6,13.2,0,0,0,0,0,0,0,0,0,7.55,0.2472,7.55,4.58,61.41,0.46,0,0,0,0,0,0,13.48,13.48,0,0,31.48,13.48,13.48,0,100,,51,2.2,22,28,28,27,67,67,0.02,0.01,0.05,0.01,,0.01,0.24,0.04,0.13,,9.95,6.22,80.57,0.53,,,,,,,
Will Levis,,0,QB,QB1,5200,TEN,vs IND,16,20.75,7.3,0,12.8,1,30.53,212.45,1.13,0.53,0.1149,3.4,6.71,0.05,3.4,0,0,0,0,0,0,0,0,0,0,0,13.46,13.46,0,2.51,28.06,13.46,13.46,0,100,,43,2.6,19,21,21,36,68,68,30.4,18.2,208.4,0.4,2.6,1.2,96.72,3,2.4,,,,,,,,,,,,
Bijan Robinson,,0,RB,RB1,6700,ATL,@ NYJ,30,17.25,7.6,0,15.1,0,0,0,0,0,0.4325,12.5,61.3,0.32,16.54,0.1488,4.04,2.42,17.83,0.2,0,0,0,0,0,0,13.45,13.45,0,2.05,28.65,13.45,13.45,0,100,,50,2,10,20,20,21,69,69,,,,,,,,12.82,63.91,0.27,4.45,2.91,21.82,0.27,,,,,,,
Desmond Ridder,,0,QB,QB1,5000,ATL,@ NYJ,1,17.25,7.1,10.2,14.1,1,27.12,195.76,0.8,0.71,0.1125,3.25,14.78,0.27,3.25,0,0,0,0,0,0,0,0,0,0,0,13.42,13.42,0,2.77,27.62,13.42,13.42,0,100,,45,2.7,21,22,22,38,70,70,27.29,17.64,186.86,0.57,1.79,0.64,60.31,3.93,17.43,0.29,0.07,0.07,-0.43,,,,,,,,
Garrett Wilson,,0,WR,WR1,6000,NYJ,vs ATL,2,16.25,7.7,13.3,13.9,0,0,0,0,0,0,0,0,0,11.12,0.3402,11.12,6.19,59,0.22,0,0,0,0,0,0,13.41,13.41,0,1.86,28.81,13.41,13.41,0,100,,43,2.2,23,29,29,28,71,71,0.07,,,,,,0.07,0.18,0.36,,9.29,5.25,64.21,0.25,,,,,,,
Brian Robinson,,0,RB,RB1,6100,WAS,vs MIA,6,20.25,7.2,9.6,14.6,0,0,0,0,0,0.6701,15.89,62.57,0.35,18.36,0.0729,2.47,1.96,20.3,0.17,0,0,0,0,0,0,13.37,13.37,0,2.57,27.77,13.37,13.37,0,100,,40,2.2,16,21,21,27,72,72,,,,,,,,14.92,58.67,0.29,2,1.58,16.04,0.17,,,,,,,
Breece Hall,!,0,RB,RB1,6400,NYJ,vs ATL,13,16.25,7.8,17.4,14.3,0,0,0,0,0,0.5858,10.68,47.01,0.22,15.4,0.1442,4.72,3.6,26.57,0.18,0,0,0,0,0,0,13.36,13.36,0,1.66,28.96,13.36,13.36,0,100,,50,2.1,13,22,22,24,73,73,,,,,,,,11.33,57.33,0.33,4.44,3.17,29.89,0.17,,,,,,,
Najee Harris,,0,RB,RB1,5200,PIT,vs ARI,29,23.25,7.1,13.5,10.4,0,0,0,0,0,0.5505,15.32,61.81,0.41,18.76,0.093,3.44,2.58,15.35,0.07,0,0,0,0,0,0,13.18,13.18,0,2.53,27.38,13.18,13.18,0,100,,51,2.5,24,23,23,36,74,74,0.02,0.02,0.09,,,,1.85,16.04,63.02,0.4,3.87,2.98,18.04,0.13,,,,,,,
Jayden Reed,!,0,WR,WR3,4400,GB,vs KC,16,18.25,5.6,0,12,0,0,0,0,0,0,0,0,0,6.94,0.2273,6.94,4.41,57.43,0.49,0,0,0,0,0,0,13.09,13.09,0,4.69,24.29,13.09,13.09,0,100,,53,3,38,30,30,44,75,75,,,,,,,,0.64,7.36,0.09,5.36,3.27,45.18,0.45,,,,,,,
Bryce Young,,0,QB,QB1,4900,CAR,@ TB,19,15.75,3.8,0,11.7,1,34.48,211.12,0.94,0.78,0.1068,2.54,15.47,0,2.54,0,0,0,0,0,0,0,0,0,0,0,12.97,12.97,0,7.27,20.57,12.97,12.97,0,100,,68,2.6,22,23,23,39,76,76,35,21.6,187.7,0.8,4,0.9,75.66,2.5,16.1,,,,,,,,,,,,
A.J. Dillon,,0,RB,RB1,5400,GB,vs KC,18,18.25,7,9.9,8,0,0,0,0,0,0.6694,16.39,64.23,0.36,19.24,0.0934,2.85,2.2,18.76,0.04,0,0,0,0,0,0,12.9,12.9,0,2.4,26.9,12.9,12.9,0,100,,22,2.4,22,24,24,34,77,77,,,,,,,,10.19,41.91,0.28,1.96,1.54,13.41,0.04,,,,,,,
Jerome Ford,,0,RB,RB1,5500,CLE,@ LAR,16,18.75,7.4,0.6,13,0,0,0,0,0,0.5267,15.59,65.92,0.32,19.33,0.112,3.74,2.42,13.5,0.1,0,0,0,0,0,0,12.88,12.88,0,1.78,27.68,12.88,12.88,0,100,,33,2.3,21,25,25,33,78,78,,,,,,,,11.77,49.23,0.23,3.15,2.08,12.54,0.15,,,,,,,
Brandin Cooks,,0,WR,WR2,4900,DAL,vs SEA,28,28.25,9.2,11.4,10.7,0,0,0,0,0,0,0,0,0,6.67,0.1763,6.67,4.37,60.08,0.41,0,0,0,0,0,0,12.84,12.84,0,0,31.24,12.84,12.84,0,100,,36,2.6,33,31,31,39,79,79,,,,,,,,0.35,1.95,0.01,7.22,4.66,65.21,0.38,,,,,,,
Jaylen Warren,,0,RB,RB2,5400,PIT,vs ARI,29,23.25,5.9,5.8,12.6,0,0,0,0,0,0.3155,8.78,50.92,0.24,13.4,0.1247,4.62,3.84,24.21,0,0,0,0,0,0,0,12.79,12.79,0,3.94,24.59,12.79,12.79,0,100,,31,2.4,22,26,26,34,80,80,,,,,,,,6.3,34.11,0.15,2.89,2.41,17.07,,,,,,,,
Christian Watson,,0,WR,WR1,4600,GB,vs KC,16,18.25,8.9,12.4,9.2,0,0,0,0,0,0,0,0,0,7.38,0.2418,7.38,3.92,58.71,0.5,0,0,0,0,0,0,12.79,12.79,0,0,30.59,12.79,12.79,0,100,,21,2.8,36,32,32,42,80,80,,,,,,,,0.41,3.45,0.09,4.95,2.82,43.73,0.45,,,,,,,
Diontae Johnson,,0,WR,WR1,5000,PIT,vs ARI,1,23.25,7.5,10.6,10.6,0,0,0,0,0,0,0,0,0,9.3,0.251,9.3,5.47,58.79,0.22,0,0,0,0,0,0,12.67,12.67,0,1.42,27.67,12.67,12.67,0,100,,43,2.5,32,33,33,38,81,81,,,,,,,,0.27,1.89,,8.55,5.21,56.79,0.3,,,,,,,
George Pickens,,0,WR,WR2,4800,PIT,vs ARI,1,23.25,7.3,10,12.2,0,0,0,0,0,0,0,0,0,7.67,0.207,7.67,4.36,65.71,0.27,0,0,0,0,0,0,12.55,12.55,0,1.6,27.15,12.55,12.55,0,100,,33,2.6,34,34,34,40,82,82,,,,,,,,0.18,1.39,0.04,5.64,3.29,52.25,0.25,,,,,,,
Terry McLaurin,,0,WR,WR1,5500,WAS,vs MIA,20,20.25,7.6,14.2,11.8,0,0,0,0,0,0,0,0,0,7.72,0.228,7.72,4.78,61.8,0.25,0,0,0,0,0,0,12.46,12.46,0,1.06,27.66,12.46,12.46,0,100,,45,2.3,28,35,35,33,83,83,,,,,,,,0.13,0.95,,7.64,4.79,66.33,0.31,,,,,,,
Tyler Lockett,,0,WR,WR2,5900,SEA,@ DAL,9,19.25,9.7,15.5,12.5,0,0,0,0,0,0,0,0,0,6.4,0.228,6.4,4.52,55.26,0.39,0,0,0,0,0,0,12.39,12.39,0,0,31.79,12.39,12.39,0,100,,27,2.1,24,36,36,29,84,84,,,,,,,,0.28,1.87,0.01,5.98,4.25,56.22,0.42,,,,,,,
Trey McBride,!,0,TE,TE1,4900,ARI,@ PIT,27,18.25,7,6.8,9.1,0,0,0,0,0,0,0,0,0,7.31,0.2085,7.31,5.42,59.04,0.17,0,0,0,0,0,0,12.34,12.34,0,1.84,26.34,12.34,12.34,0,100,,14,2.5,6,4,4,39,85,85,,,,,,,,,,,4.95,3.67,37.43,0.1,,,,,,,
Noah Brown,!,0,WR,WR3,4500,HOU,vs DEN,10,25.25,6.8,7.7,15.4,0,0,0,0,0,0,0,0,0,6.84,0.1691,6.84,4.35,68.26,0.18,0,0,0,0,0,0,12.26,12.26,0,2.06,25.86,12.26,12.26,0,100,,0,2.7,37,37,37,43,86,86,,,,,,,,0.04,0.06,,3.32,2.06,28.38,0.08,,,,,,,
Rashee Rice,,0,WR,WR1,5600,KC,@ GB,12,24.25,6,0,11.8,0,0,0,0,0,0,0,0,0,5.33,0.1592,5.33,4.22,50.05,0.5,0,0,0,0,0,0,12.23,12.23,0,3.23,24.23,12.23,12.23,0,100,,49,2.2,27,38,38,32,87,87,,,,,,,,0.09,-0.27,,5.09,4,47.91,0.45,,,,,,,
DK Metcalf,,0,WR,WR1,6500,SEA,@ DAL,9,19.25,8.2,13.8,13.2,0,0,0,0,0,0,0,0,0,7.17,0.2556,7.17,4.15,57.07,0.36,0,0,0,0,0,0,12.02,12.02,0,0,28.42,12.02,12.02,0,100,,44,1.8,18,39,39,23,88,88,,,,,,,,0.04,0.22,,7.62,4.62,65.58,0.5,,,,,,,
Romeo Doubs,,0,WR,WR2,4800,GB,vs KC,16,18.25,6.2,7.9,11.5,0,0,0,0,0,0,0,0,0,7.18,0.235,7.18,4.32,42.51,0.53,0,0,0,0,0,0,11.75,11.75,0,2.45,24.15,11.75,11.75,0,100,,35,2.4,34,40,40,40,89,89,,,,,,,,0.04,0.46,,5.67,3.46,35.75,0.42,,,,,,,
Phillip Walker,,0,QB,QB1,4700,CLE,@ LAR,23,18.75,5.8,7.5,5.4,1,33.36,217.91,0.93,1.54,0.1042,3.08,8.01,0,3.08,0,0,0,0,0,0,0,0,0,0,0,11.7,11.7,0,3,23.3,11.7,11.7,0,100,,0,2.5,24,24,24,41,90,90,16.95,9.25,106.75,0.8,1.45,0.3,56.77,1.55,4,,0.05,,,,,,,,,,
David Njoku,,0,TE,TE1,4100,CLE,@ LAR,18,18.75,5.9,10.2,10.1,0,0,0,0,0,0,0,0,0,7.61,0.2281,7.61,4.87,50.76,0.25,0,0,0,0,0,0,11.45,11.45,0,2.6,23.25,11.45,11.45,0,100,,25,2.8,10,5,5,47,91,91,,,,,,,,0.05,-0.07,,4.68,3.02,33.81,0.25,,,,,,,
Evan Engram,,0,TE,TE1,4500,JAC,vs CIN,7,23.25,6.9,10.8,10.5,0,0,0,0,0,0,0,0,0,7.5,0.2073,7.5,5.12,48.91,0.17,0,0,0,0,0,0,11.03,11.03,0,0.68,24.83,11.03,11.03,0,100,,33,2.5,8,6,6,43,92,92,,,,,,,,0.17,1,0.01,6.55,4.29,44.28,0.22,,,,,,,
Kareem Hunt,!,0,RB,RB2,4700,CLE,@ LAR,16,18.75,9.5,7.5,8.8,0,0,0,0,0,0.3691,10.92,44.49,0.47,13.06,0.064,2.14,1.7,12.57,0.07,0,0,0,0,0,0,10.65,10.65,0,0,29.65,10.65,10.65,0,100,,32,2.3,28,27,27,41,93,93,,,,,,,,11.58,50.52,0.44,3.26,2.59,21.74,0.2,,,,,,,
Devin Singletary,,0,RB,RB1,5900,HOU,vs DEN,27,25.25,6.6,11.5,9.1,0,0,0,0,0,0.3906,10.98,49.68,0.24,13.91,0.0724,2.93,2.25,15.05,0.04,0,0,0,0,0,0,10.4,10.4,0,0.5,23.6,10.4,10.4,0,100,,40,1.8,18,28,28,29,94,94,0.01,0.01,0.08,,,0.01,6.08,11.03,50.66,0.25,3.1,2.32,15.89,0.05,,,,,,,
Tee Higgins,!,0,WR,WR2,6300,CIN,@ JAC,15,15.25,9.4,16.6,10.7,0,0,0,0,0,0,0,0,0,5.99,0.1847,5.99,3.78,48.99,0.28,0,0,0,0,0,0,10.36,10.36,0,0,29.16,10.36,10.36,0,100,,36,1.6,20,41,41,25,95,95,,,,,,,,0.1,0.56,,7.56,4.84,67.12,0.42,,,,,,,
Samaje Perine,,0,RB,RB2,4800,DEN,@ HOU,14,22.25,6.7,9.1,8,0,0,0,0,0,0.1809,4.71,20.15,0.11,9.02,0.128,4.31,3.69,30.98,0.13,0,0,0,0,0,0,10.24,10.24,0,0.19,23.64,10.24,10.24,0,100,,6,2.1,27,29,29,40,96,96,,,,,,,,6.08,24.63,0.11,2.24,1.89,15.11,0.08,,,,,,,
Jake Ferguson,,0,TE,TE1,4000,DAL,vs SEA,28,28.25,5.5,4.4,9.6,0,0,0,0,0,0,0,0,0,5.26,0.139,5.26,3.79,39.52,0.41,0,0,0,0,0,0,10.2,10.2,0,1.95,21.2,10.2,10.2,0,100,,21,2.6,11,7,7,48,97,97,,,,,,,,,,,3.64,2.68,27.05,0.27,,,,,,,
Chuba Hubbard,,0,RB,RB1,5300,CAR,@ TB,2,15.75,5.9,6.5,9.3,0,0,0,0,0,0.4198,9.98,39.22,0.2,13.58,0.1044,3.6,2.92,18.93,0.02,0,0,0,0,0,0,10.06,10.06,0,1.21,21.86,10.06,10.06,0,100,,28,1.9,23,30,30,35,98,98,,,,,,,,9.39,37.34,0.22,2.1,1.63,12.44,0.02,,,,,,,
Drake London,,0,WR,WR1,4900,ATL,@ NYJ,25,17.25,6.3,10.9,11.7,0,0,0,0,0,0,0,0,0,6.26,0.2307,6.26,4.12,50.73,0.14,0,0,0,0,0,0,10.03,10.03,0,0.58,22.63,10.03,10.03,0,100,,44,2,33,42,42,39,99,99,0.04,0.04,0.81,,,,6.56,,,,6.81,4.33,53,0.22,,,,,,,
Jahan Dotson,,0,WR,WR2,4600,WAS,vs MIA,20,20.25,7.6,11.1,9.4,0,0,0,0,0,0,0,0,0,5.88,0.1736,5.88,3.55,41.02,0.39,0,0,0,0,0,0,9.99,9.99,0,0,25.19,9.99,9.99,0,100,,26,2.2,36,43,43,42,100,100,,,,,,,,0.08,-0.29,,5.42,3.21,39.92,0.46,,,,,,,
Miles Sanders,,0,RB,RB2,4300,CAR,@ TB,2,15.75,8.4,13.4,6.7,0,0,0,0,0,0.4734,11.25,48.76,0.23,14.43,0.0922,3.18,2.16,13.48,0.03,0,0,0,0,0,0,9.94,9.94,0,0,26.74,9.94,9.94,0,100,,31,2.3,32,31,31,45,101,101,,,,,,,,12.5,59.99,0.31,3.13,2.18,15.74,0.04,,,,,,,
Bailey Zappe,,0,QB,QB1,4800,NE,vs LAC,20,17.75,7,12.2,1.1,1,33.67,197.58,0.9,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81,9.81,0,0,23.81,9.81,9.81,0,100,,0,2,23,25,25,40,102,102,16.38,10.5,117.38,0.63,0.25,0.63,17.59,1.25,,,0.13,0.13,-0.75,,,,,,,,
Hunter Henry,,0,TE,TE1,3100,NE,vs LAC,17,17.75,6,6.5,7.8,0,0,0,0,0,0,0,0,0,5.69,0.169,5.69,3.85,40.55,0.29,0,0,0,0,0,0,9.65,9.65,0,0.65,21.65,9.65,9.65,0,100,,38,3.1,19,8,8,57,103,103,,,,,,,,,,,4.99,3.41,40.17,0.38,,,,,,,
Jets,,0,DST,DST1,3500,NYJ,vs ATL,21,17.25,5.4,6.9,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,1.13,0.76,0.25,0.25,17.25,9.54,9.54,0,1.44,20.34,9.54,9.54,0,100,,7,2.7,6,1,1,53,104,104,,,,,,,,,,,,,,,2.15,0.73,0.5,0.13,0.05,23.65,353.77
Rondale Moore,,0,WR,WR2,3400,ARI,@ PIT,27,18.25,6.5,11,6.8,0,0,0,0,0,0.0725,1.92,10.28,0.05,7.35,0.1548,5.43,3.72,35.67,0.15,0,0,0,0,0,0,9.52,9.52,0,0,22.52,9.52,9.52,0,100,,22,2.8,48,44,44,54,105,105,,,,,,,,1.38,6.68,0.03,4.88,3.62,32.44,0.09,,,,,,,
Cowboys,,0,DST,DST1,3800,DAL,vs SEA,28,19.25,6.8,9.8,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.73,0.31,0.1,0.52,19.25,9.2,9.2,0,0,22.8,9.2,9.2,0,100,,8,2.4,3,2,2,50,106,106,,,,,,,,,,,,,,,2.44,0.76,0.61,0.19,0.01,21.26,342.69
Colts,,0,DST,DST1,3200,IND,@ TEN,24,20.75,5.7,6.4,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,1.29,0.47,0,0.23,20.75,9.19,9.19,0,0.64,20.59,9.19,9.19,0,100,,21,2.9,9,3,3,56,107,107,,,,,,,,,,,,,,,2.31,0.88,0.6,0.18,0.06,23.18,357.38
Dolphins,,0,DST,DST1,3900,MIA,@ WAS,19,20.25,6.7,5.7,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0.97,0.48,0,0.24,20.25,9.1,9.1,0,0,22.5,9.1,9.1,0,100,,0,2.3,2,4,4,49,108,108,,,,,,,,,,,,,,,2.21,0.87,0.43,0.22,0.03,24.01,365.28
D.J. Chark,,0,WR,WR3,3200,CAR,@ TB,30,15.75,8.6,9.2,8,0,0,0,0,0,0,0,0,0,5.6,0.1625,5.6,3.12,39.93,0.33,0,0,0,0,0,0,9.09,9.09,0,0,26.29,9.09,9.09,0,100,,17,2.8,50,45,45,56,109,109,,,,,,,,0.03,0.33,,5.87,3.26,47.11,0.36,,,,,,,
Chargers,,0,DST,DST1,4000,LAC,@ NE,32,17.75,5.6,5.9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0.64,1.02,0,0.13,17.75,9.04,9.04,0,0.64,20.24,9.04,9.04,0,100,,10,2.3,1,5,5,48,110,110,,,,,,,,,,,,,,,2.24,0.81,0.51,0.15,0.02,23.05,350.52
Cade Otton,,0,TE,TE1,3200,TB,vs CAR,5,20.75,5.3,6.6,8.3,0,0,0,0,0,0,0,0,0,5.49,0.1441,5.49,3.84,35.09,0.28,0,0,0,0,0,0,9.03,9.03,0,1.08,19.63,9.03,9.03,0,100,,28,2.8,18,9,9,56,111,111,,,,,,,,,,,4.6,3.2,29.56,0.2,,,,,,,
Michael Gallup,,0,WR,WR3,3600,DAL,vs SEA,28,28.25,7.4,7.5,6.3,0,0,0,0,0,0,0,0,0,5.61,0.1483,5.61,3.2,43.45,0.24,0,0,0,0,0,0,8.99,8.99,0,0,23.79,8.99,8.99,0,100,,24,2.5,46,46,46,52,112,112,,,,,,,,,,,5.92,3.29,46.62,0.25,,,,,,,
Taysom Hill,,0,TE,QB2,5200,NO,vs DET,11,21.25,7.8,9.3,9.5,0,0,0,0,0,0.173,4.25,22.86,0.29,6.64,0.0769,2.39,1.79,18.15,0.22,0,0,0,0,0,0,8.95,8.95,0,0,24.55,8.95,8.95,0,100,,4,1.7,4,10,10,36,113,113,3.38,2.2,27.44,0.09,0.32,0.13,48.81,4.34,24.1,0.3,1.08,0.79,8.08,0.13,,,,,,,
Tyler Higbee,,0,TE,TE1,3700,LAR,vs CLE,8,21.75,6.6,9.5,7,0,0,0,0,0,0,0,0,0,5.51,0.1593,5.51,3.69,36.8,0.26,0,0,0,0,0,0,8.93,8.93,0,0,22.13,8.93,8.93,0,100,,12,2.4,13,11,11,51,114,114,,,,,,,,0.01,0.01,,4.53,3.05,31.08,0.2,,,,,,,
Tyler Boyd,,0,WR,WR3,4200,CIN,@ JAC,15,15.25,8,10.8,10.2,0,0,0,0,0,0,0,0,0,5.38,0.166,5.38,3.67,39.59,0.2,0,0,0,0,0,0,8.83,8.83,0,0,24.83,8.83,8.83,0,100,,31,2.1,40,47,47,46,115,115,0.04,0.03,0.75,,0.01,,3.49,0.16,1.41,,6.38,4.35,50.83,0.27,,,,,,,
Tyler Allgeier,,0,RB,RB2,4500,ATL,@ NYJ,30,17.25,6.3,10.2,7.9,0,0,0,0,0,0.455,13.15,53.07,0.23,14.68,0.0565,1.53,1.17,8.25,0.02,0,0,0,0,0,0,8.8,8.8,0,0,21.4,8.8,8.8,0,100,,32,2,30,32,32,43,116,116,,,,,,,,12.78,55.59,0.22,1.26,1.04,8.22,0.04,,,,,,,
Tim Boyle,,0,QB,QB1,4800,NYJ,vs ATL,22,16.25,5.1,-0.9,4.9,1,32.7,189.02,0.85,2.27,0.1239,2.26,0.29,0,2.26,0,0,0,0,0,0,0,0,0,0,0,8.72,8.72,0,1.07,18.92,8.72,8.72,0,100,,0,1.8,23,26,26,40,117,117,8.78,5.56,43.67,0.61,0.5,0.22,19.86,1.39,-0.11,,,,,,,,,,,,
Jaguars,,0,DST,DST1,3400,JAC,vs CIN,14,15.25,6.5,8.1,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,1.17,0.66,0,0.26,15.25,8.7,8.7,0,0,21.7,8.7,8.7,0,100,,2,2.6,7,6,6,54,118,118,,,,,,,,,,,,,,,2.24,0.73,0.49,0.22,0.01,23.35,355.1
Pat Freiermuth,,0,TE,TE1,4300,PIT,vs ARI,1,23.25,5.4,9.9,8.5,0,0,0,0,0,0,0,0,0,5.25,0.1418,5.25,3.72,36.27,0.21,0,0,0,0,0,0,8.61,8.61,0,0.51,19.41,8.61,8.61,0,100,,43,2,9,12,12,45,119,119,,,,,,,,,,,5.46,3.81,38.08,0.3,,,,,,,
Allen Lazard,,0,WR,WR2,3200,NYJ,vs ATL,2,16.25,6.5,11.9,5.5,0,0,0,0,0,0,0,0,0,5.51,0.1684,5.51,3.25,36.74,0.28,0,0,0,0,0,0,8.6,8.6,0,0,21.6,8.6,8.6,0,100,,31,2.7,50,48,48,56,120,120,,,,,,,,0.14,1.19,,4.83,3.05,40.67,0.33,,,,,,,
Juwan Johnson,,0,TE,TE1,3400,NO,vs DET,11,21.25,5.8,8.4,5.5,0,0,0,0,0,0,0,0,0,5.07,0.1629,5.07,3.14,32.51,0.36,0,0,0,0,0,0,8.55,8.55,0,0,20.15,8.55,8.55,0,100,,0,2.5,16,13,13,54,121,121,,,,,,,,,,,3.15,1.93,21.2,0.3,,,,,,,
Logan Thomas,,0,TE,TE1,3600,WAS,vs MIA,20,20.25,5.8,5.9,9.4,0,0,0,0,0,0,0,0,0,5.56,0.1643,5.56,3.81,33.74,0.22,0,0,0,0,0,0,8.5,8.5,0,0,20.1,8.5,8.5,0,100,,16,2.4,14,14,14,52,122,122,0.03,0.03,0.6,,,,3.7,0.06,0.1,,4.38,2.92,26.88,0.21,,,,,,,
Ezekiel Elliott,!,0,RB,RB2,4500,NE,vs LAC,17,17.75,9,12.4,7.3,0,0,0,0,0,0.4175,8.65,36.97,0.28,10.91,0.0671,2.26,1.71,11.57,0.04,0,0,0,0,0,0,8.48,8.48,0,0,26.48,8.48,8.48,0,100,,49,1.9,30,33,33,43,123,123,0.02,0.01,0.03,0.01,,,-2.86,17.23,75.59,0.6,3.73,2.83,21.23,0.1,,,,,,,
Jalen Guyton,,0,WR,WR3,3300,LAC,@ NE,22,22.75,5.2,4.2,5.2,0,0,0,0,0,0,0,0,0,5.08,0.1303,5.08,2.63,39.62,0.3,0,0,0,0,0,0,8.39,8.39,0,0.59,18.79,8.39,8.39,0,100,,12,2.5,49,49,49,55,124,124,,,,,,,,0.24,0.92,,3.24,1.78,28.86,0.19,,,,,,,
Zach Charbonnet,,0,RB,RB1,5300,SEA,@ DAL,12,19.25,3.6,0,6.4,0,0,0,0,0,0.6643,11.67,53.76,0,14.06,0.0851,2.39,2.06,8.49,0,0,0,0,0,0,0,8.29,8.29,0,2.89,15.49,8.29,8.29,0,100,,44,1.6,23,34,34,35,125,125,,,,,,,,6.7,30.8,,2.7,2.3,10.3,,,,,,,,
Jaxon Smith-Njigba,,0,WR,WR3,4000,SEA,@ DAL,9,19.25,4.1,0,8.2,0,0,0,0,0,0,0,0,0,5.13,0.1828,5.13,3.44,37.01,0.17,0,0,0,0,0,0,8.16,8.16,0,2.01,16.36,8.16,8.16,0,100,,50,2,42,50,50,48,126,126,,,,,,,,,,,5.18,3.45,36.91,0.18,,,,,,,
Chiefs,,0,DST,DST1,3300,KC,@ GB,22,18.25,6.7,7,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.7,0.7,0,0.11,18.25,8.16,8.16,0,0,21.56,8.16,8.16,0,100,,19,2.5,8,7,7,55,126,126,,,,,,,,,,,,,,,2.52,0.97,0.59,0.26,0.03,20.7,357.94
Broncos,,0,DST,DST1,2700,DEN,@ HOU,9,25.25,6,5.9,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0.97,1.3,0.11,0.21,25.25,8.08,8.08,0,0,20.08,8.08,8.08,0,100,,19,3,14,8,8,61,127,127,,,,,,,,,,,,,,,2.43,0.8,0.57,0.14,0.02,20.86,333.78
Elijah Moore,,0,WR,WR2,3500,CLE,@ LAR,18,18.75,7,6.3,8.2,0,0,0,0,0,0,0,0,0,6.2,0.186,6.2,3.67,37.36,0.11,0,0,0,0,0,0,8.07,8.07,0,0,22.07,8.07,8.07,0,100,,21,2.3,47,51,51,53,128,128,,,,,,,,0.53,1.94,0.03,6,3.42,38.94,0.19,,,,,,,
Tutu Atwell,,0,WR,WR3,3800,LAR,vs CLE,8,21.75,5.7,5.3,9.9,0,0,0,0,0,0,0,0,0,5.06,0.1465,5.06,2.9,37.79,0.22,0,0,0,0,0,0,8,8,0,0,19.4,8,8,0,100,,3,2.1,44,52,52,50,129,129,,,,,,,,0.45,2.38,0.03,3.28,1.86,26.38,0.14,,,,,,,
Josh Reynolds,,0,WR,WR2,3400,DET,@ NO,23,25.25,6.1,8.7,9.4,0,0,0,0,0,0,0,0,0,4.51,0.1098,4.51,2.7,36.71,0.27,0,0,0,0,0,0,7.99,7.99,0,0,20.19,7.99,7.99,0,100,,14,2.4,48,53,53,54,130,130,,,,,,,,0.1,0.43,,4.23,2.49,33.29,0.22,,,,,,,
